epoca,a,b,mse
0,3.3333549500,-666.3638305664,148151.8593750000
1,1.1111220121,445.8637084961,65846.1171875000
2,2.5926077366,-295.6199340820,29266.0253906250
3,1.6049519777,198.7018432617,13008.2597656250
4,2.2633881569,-130.8455200195,5782.6040039062
5,1.8244315386,88.8522949219,2571.2080078125
6,2.1170687675,-57.6126098633,1143.9295654297
7,1.9219776392,40.0304565430,509.5836181641
8,2.0520381927,-25.0648803711,227.6543731689
9,1.9653313160,18.3319702148,102.3523406982
10,2.0231356621,-10.5991210938,46.6624984741
11,1.9845995903,8.6881713867,21.9119338989
12,2.0102901459,-4.1699218750,10.9115152359
13,1.9931632280,4.4020996094,6.0227046013
14,2.0045812130,-1.3126220703,3.8498928547
15,1.9969692230,2.4971923828,2.8841710091
16,2.0020439625,-0.0427246094,2.4550082684
17,1.9986606836,1.6506347656,2.2642333508
18,2.0009162426,0.5217285156,2.1794521809
19,1.9994125366,1.2742919922,2.1417570114
20,2.0004150867,0.7725219727,2.1250247955
21,1.9997465611,1.1071166992,2.1175773144
22,2.0001924038,0.8839721680,2.1142687798
23,1.9998950958,1.0327758789,2.1128077507
24,2.0000932217,0.9336547852,2.1121356487
25,1.9999611378,0.9997558594,2.1118474007
26,2.0000493526,0.9555664062,2.1117208004
27,1.9999904633,0.9850463867,2.1116609573
28,2.0000298023,0.9653930664,2.1116392612
29,2.0000035763,0.9785156250,2.1116192341
