epoca,a,b,mse
0,166.6665191650,-32366.5507812500,370368544.0000000000
1,55.5557708740,23244.3789062500,164607168.0000000000
2,129.6293792725,-13829.4609375000,73158272.0000000000
3,80.2470932007,10886.3710937500,32514706.0000000000
4,113.1685714722,-5590.8281250000,14450946.0000000000
5,91.2209777832,5393.9453125000,6422588.5000000000
6,105.8526535034,-1929.2109375000,2854470.2500000000
7,96.0982284546,2952.8789062500,1268647.6250000000
8,102.6011657715,-301.8398437500,563843.0625000000
9,98.2658767700,1867.9726562500,250598.1718750000
10,101.1560668945,421.4296875000,111377.6640625000
11,99.2292785645,1385.7890625000,49501.9453125000
12,100.5138015747,742.8867187500,22002.0820312500
13,99.6574554443,1171.4882812500,9779.6552734375
14,100.2283477783,885.7539062500,4347.5839843750
15,99.8477554321,1076.2421875000,1933.3863525391
16,100.1014862061,949.2500000000,860.4763793945
17,99.9323272705,1033.9140625000,383.5998535156
18,100.0451049805,977.4687500000,171.6551208496
19,99.9699172974,1015.0976562500,77.4309539795
20,100.0200424194,990.0117187500,35.5586318970
21,99.9866256714,1006.7382812500,16.9455814362
22,100.0089035034,995.5859375000,8.6746530533
23,99.9940490723,1003.0195312500,4.9997558594
24,100.0039520264,998.0664062500,3.3635568619
25,99.9973526001,1001.3671875000,2.6371388435
26,100.0017547607,999.1640625000,2.3160989285
27,99.9988174438,1000.6367187500,2.1718916893
28,100.0007781982,999.6523437500,2.1080670357
29,99.9994659424,1000.3085937500,2.0800611973
