epoca,a,b,mse
0,499.9989929199,-100099.5156250000,3333307648.0000000000
1,166.6672973633,66733.0000000000,1481457920.0000000000
2,388.8876647949,-44488.2968750000,658422848.0000000000
3,240.7409973145,29659.1171875000,292631872.0000000000
4,339.5053100586,-19772.4218750000,130058112.0000000000
5,273.6625671387,13181.8750000000,57803392.0000000000
6,317.5576171875,-8787.6093750000,25690212.0000000000
7,288.2943725586,5858.6562500000,11417759.0000000000
8,307.8031005859,-3905.4687500000,5074509.5000000000
9,294.7973327637,2603.9218750000,2255324.5000000000
10,303.4678039551,-1735.6562500000,1002354.0625000000
11,297.6875305176,1157.3750000000,445484.4687500000
12,301.5410156250,-771.2968750000,197990.6250000000
13,298.9720458984,514.4687500000,87996.0546875000
14,300.6846923828,-342.7031250000,39111.1328125000
15,299.5429382324,228.7500000000,17382.6796875000
16,300.3040771484,-152.2031250000,7726.0244140625
17,299.7966613770,101.7500000000,3435.0998535156
18,300.1349487305,-67.5625000000,1527.9571533203
19,299.9094238281,45.3125000000,680.1451416016
20,300.0597534180,-29.9218750000,303.2786560059
21,299.9595336914,20.2343750000,136.0227813721
22,300.0263671875,-13.2187500000,61.6146240234
23,299.9818115234,9.0937500000,28.5048789978
24,300.0115051270,-5.7812500000,13.7940454483
25,299.9916992188,4.1406250000,7.2862586975
26,300.0049133301,-2.4687500000,4.3701300621
27,299.9960937500,1.9375000000,3.0869207382
28,300.0019836426,-1.0156250000,2.5042202473
29,299.9980468750,0.9687500000,2.2540376186
