epoca,a,b,mse
0,166.6665496826,-32366.6093750000,370368736.0000000000
1,55.5557212830,23244.3613281250,164607696.0000000000
2,129.6294555664,-13829.5429687500,73158616.0000000000
3,80.2470626831,10886.3437500000,32514850.0000000000
4,113.1685791016,-5590.8750000000,14450933.0000000000
5,91.2209701538,5393.9062500000,6422612.0000000000
6,105.8526763916,-1929.2656250000,2854483.2500000000
7,96.0982208252,2952.8398437500,1268654.5000000000
8,102.6011734009,-301.8867187500,563840.9375000000
9,98.2658843994,1867.9257812500,250596.2343750000
10,101.1560745239,421.3828125000,111375.5703125000
11,99.2292861938,1385.7421875000,49499.9257812500
12,100.5138092041,742.8398437500,21999.9804687500
13,99.6574630737,1171.4414062500,9777.6181640625
14,100.2283554077,885.7070312500,4345.5141601562
15,99.8477630615,1076.1953125000,1931.3353271484
16,100.1014938354,949.2031250000,858.4166870117
17,99.9323348999,1033.8671875000,381.5478210449
18,100.0451126099,977.4218750000,169.5957489014
19,99.9699249268,1015.0507812500,75.3764190674
20,100.0200500488,989.9648437500,33.5003623962
21,99.9866333008,1006.6914062500,14.8892402649
22,100.0089111328,995.5390625000,6.6173634529
23,99.9940567017,1002.9765625000,2.9435546398
24,100.0039596558,998.0195312500,1.3066133261
25,99.9973602295,1001.3203125000,0.5806847215
26,100.0017623901,999.1171875000,0.2588299513
27,99.9988250732,1000.5898437500,0.1150256023
28,100.0007858276,999.6054687500,0.0514784418
29,99.9994735718,1000.2617187500,0.0231139939
30,100.0003509521,999.8242187500,0.0102793099
31,99.9997634888,1000.1171875000,0.0046587666
32,100.0001602173,999.9179687500,0.0021660456
33,99.9998931885,1000.0546875000,0.0009541516
34,100.0000686646,999.9648437500,0.0004071928
35,99.9999542236,1000.0234375000,0.0001783387
36,100.0000305176,999.9843750000,0.0000831342
37,99.9999771118,1000.0117187500,0.0000604644
38,100.0000152588,999.9921875000,0.0000252264
39,99.9999923706,1000.0039062500,0.0000024647
40,100.0000000000,1000.0000000000,0.0000000000
41,100.0000000000,1000.0000000000,0.0000000000
42,100.0000000000,1000.0000000000,0.0000000000
43,100.0000000000,1000.0000000000,0.0000000000
44,100.0000000000,1000.0000000000,0.0000000000
45,100.0000000000,1000.0000000000,0.0000000000
46,100.0000000000,1000.0000000000,0.0000000000
47,100.0000000000,1000.0000000000,0.0000000000
48,100.0000000000,1000.0000000000,0.0000000000
49,100.0000000000,1000.0000000000,0.0000000000
50,100.0000000000,1000.0000000000,0.0000000000
51,100.0000000000,1000.0000000000,0.0000000000
52,100.0000000000,1000.0000000000,0.0000000000
53,100.0000000000,1000.0000000000,0.0000000000
54,100.0000000000,1000.0000000000,0.0000000000
55,100.0000000000,1000.0000000000,0.0000000000
56,100.0000000000,1000.0000000000,0.0000000000
57,100.0000000000,1000.0000000000,0.0000000000
58,100.0000000000,1000.0000000000,0.0000000000
59,100.0000000000,1000.0000000000,0.0000000000
60,100.0000000000,1000.0000000000,0.0000000000
61,100.0000000000,1000.0000000000,0.0000000000
62,100.0000000000,1000.0000000000,0.0000000000
63,100.0000000000,1000.0000000000,0.0000000000
64,100.0000000000,1000.0000000000,0.0000000000
65,100.0000000000,1000.0000000000,0.0000000000
66,100.0000000000,1000.0000000000,0.0000000000
67,100.0000000000,1000.0000000000,0.0000000000
68,100.0000000000,1000.0000000000,0.0000000000
69,100.0000000000,1000.0000000000,0.0000000000
70,100.0000000000,1000.0000000000,0.0000000000
71,100.0000000000,1000.0000000000,0.0000000000
72,100.0000000000,1000.0000000000,0.0000000000
73,100.0000000000,1000.0000000000,0.0000000000
74,100.0000000000,1000.0000000000,0.0000000000
75,100.0000000000,1000.0000000000,0.0000000000
76,100.0000000000,1000.0000000000,0.0000000000
77,100.0000000000,1000.0000000000,0.0000000000
78,100.0000000000,1000.0000000000,0.0000000000
79,100.0000000000,1000.0000000000,0.0000000000
80,100.0000000000,1000.0000000000,0.0000000000
81,100.0000000000,1000.0000000000,0.0000000000
82,100.0000000000,1000.0000000000,0.0000000000
83,100.0000000000,1000.0000000000,0.0000000000
84,100.0000000000,1000.0000000000,0.0000000000
85,100.0000000000,1000.0000000000,0.0000000000
86,100.0000000000,1000.0000000000,0.0000000000
87,100.0000000000,1000.0000000000,0.0000000000
88,100.0000000000,1000.0000000000,0.0000000000
89,100.0000000000,1000.0000000000,0.0000000000
90,100.0000000000,1000.0000000000,0.0000000000
91,100.0000000000,1000.0000000000,0.0000000000
92,100.0000000000,1000.0000000000,0.0000000000
93,100.0000000000,1000.0000000000,0.0000000000
94,100.0000000000,1000.0000000000,0.0000000000
95,100.0000000000,1000.0000000000,0.0000000000
96,100.0000000000,1000.0000000000,0.0000000000
97,100.0000000000,1000.0000000000,0.0000000000
98,100.0000000000,1000.0000000000,0.0000000000
99,100.0000000000,1000.0000000000,0.0000000000
100,100.0000000000,1000.0000000000,0.0000000000
101,100.0000000000,1000.0000000000,0.0000000000
102,100.0000000000,1000.0000000000,0.0000000000
103,100.0000000000,1000.0000000000,0.0000000000
104,100.0000000000,1000.0000000000,0.0000000000
105,100.0000000000,1000.0000000000,0.0000000000
106,100.0000000000,1000.0000000000,0.0000000000
107,100.0000000000,1000.0000000000,0.0000000000
108,100.0000000000,1000.0000000000,0.0000000000
109,100.0000000000,1000.0000000000,0.0000000000
110,100.0000000000,1000.0000000000,0.0000000000
111,100.0000000000,1000.0000000000,0.0000000000
112,100.0000000000,1000.0000000000,0.0000000000
113,100.0000000000,1000.0000000000,0.0000000000
114,100.0000000000,1000.0000000000,0.0000000000
115,100.0000000000,1000.0000000000,0.0000000000
116,100.0000000000,1000.0000000000,0.0000000000
117,100.0000000000,1000.0000000000,0.0000000000
118,100.0000000000,1000.0000000000,0.0000000000
119,100.0000000000,1000.0000000000,0.0000000000
120,100.0000000000,1000.0000000000,0.0000000000
121,100.0000000000,1000.0000000000,0.0000000000
122,100.0000000000,1000.0000000000,0.0000000000
123,100.0000000000,1000.0000000000,0.0000000000
124,100.0000000000,1000.0000000000,0.0000000000
125,100.0000000000,1000.0000000000,0.0000000000
126,100.0000000000,1000.0000000000,0.0000000000
127,100.0000000000,1000.0000000000,0.0000000000
128,100.0000000000,1000.0000000000,0.0000000000
129,100.0000000000,1000.0000000000,0.0000000000
130,100.0000000000,1000.0000000000,0.0000000000
131,100.0000000000,1000.0000000000,0.0000000000
