epoca,a,b,mse
0,124.9499969482,4463.7753906250,6381302.0000000000
1,197.8583221436,2604.6127929688,2172656.2500000000
2,240.4003448486,1519.7910156250,739728.7500000000
3,265.2236022949,886.7983398438,251857.0156250000
4,279.7079772949,517.4467773438,85750.2734375000
5,288.1596069336,301.9301757812,29195.5976562500
6,293.0911254883,176.1762695312,9940.3115234375
7,295.9686584473,102.7993164062,3384.4238281250
8,297.6477050781,59.9833984375,1152.3088378906
9,298.6274414062,35.0000000000,392.3260498047
10,299.1991271973,20.4223632812,133.5718383789
11,299.5326843262,11.9165039062,45.4789352417
12,299.7273254395,6.9531250000,15.4836597443
13,299.8408813477,4.0576171875,5.2726039886
14,299.9071655273,2.3671875000,1.7947632074
15,299.9458312988,1.3813476562,0.6110556126
16,299.9683837891,0.8061523438,0.2081367821
17,299.9815673828,0.4702148438,0.0707393140
18,299.9892578125,0.2739257812,0.0240338668
19,299.9937438965,0.1596679688,0.0081485175
