epoca,a,b,mse
0,99.9899978638,-1949.4951171875,1332533.8750000000
1,33.3466529846,1415.9940185547,591941.5625000000
2,77.7644577026,-827.1052246094,262953.6250000000
3,48.1599845886,667.9208984375,116809.9296875000
4,67.8913650513,-328.5139160156,51889.5351562500
5,54.7404060364,335.6093750000,23050.4726562500
6,63.5055198669,-107.0288085938,10239.5332031250
7,57.6635704041,187.9897460938,4548.6381835938
8,61.5572319031,-8.6401367188,2020.6079101562
9,58.9621047974,122.4138183594,897.5982666016
10,60.6917572021,35.0661621094,398.7339477539
11,59.5389442444,93.2832031250,177.1261596680
12,60.3072967529,54.4814453125,78.6848907471
13,59.7951889038,80.3430175781,34.9529609680
14,60.1365051270,63.1064453125,15.5265007019
15,59.9090194702,74.5944824219,6.8972411156
16,60.0606384277,66.9377441406,3.0638532639
17,59.9595832825,72.0410156250,1.3611148596
18,60.0269393921,68.6396484375,0.6047098041
19,59.9820442200,70.9067382812,0.2686475217
20,60.0119667053,69.3957519531,0.1193276197
21,59.9920234680,70.4028320312,0.0530228987
22,60.0053176880,69.7314453125,0.0235608108
23,59.9964561462,70.1789550781,0.0104621509
24,60.0023612976,69.8808593750,0.0046466198
25,59.9984245300,70.0795898438,0.0020682793
26,60.0010490417,69.9470214844,0.0009174974
27,59.9993019104,70.0351562500,0.0004065063
28,60.0004653931,69.9765625000,0.0001805354
29,59.9996910095,70.0156250000,0.0000795171
